name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO	percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
Global Information	13900	3539	10361	0	10	0	32590	32590	17310	1980	5197	881	4183	7060	1308	7240	24980	2850	25020	29120	4520	t < 800 ms	378	2	800 ms < t < 1200 ms	380	2	t > 1200 ms	2781	20	failed	10361	74	32	8	24
request_19	100	0	100	70	-1	70	9090	-1	9090	2032	-1	2032	1730	-1	1730	3250	-1	3250	9060	-1	9060	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	100	100	0	-1	0
request_15	100	100	0	2570	2570	-1	25060	25060	-1	21768	21768	-1	5573	5573	-1	24510	24510	-1	25050	25050	-1	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	100	100	failed	0	0	0	0	-1
request_16	100	100	0	1020	1020	-1	10500	10500	-1	4838	4838	-1	1875	1875	-1	6730	6730	-1	10480	10480	-1	t < 800 ms	0	0	800 ms < t < 1200 ms	1	1	t > 1200 ms	99	99	failed	0	0	0	0	-1
request_17	100	100	0	630	630	-1	18970	18970	-1	4284	4284	-1	2732	2732	-1	7520	7520	-1	11950	11950	-1	t < 800 ms	3	3	800 ms < t < 1200 ms	10	10	t > 1200 ms	87	87	failed	0	0	0	0	-1
request_18	100	100	0	250	250	-1	11930	11930	-1	1521	1521	-1	2204	2204	-1	5230	5230	-1	11760	11760	-1	t < 800 ms	14	14	800 ms < t < 1200 ms	75	75	t > 1200 ms	11	11	failed	0	0	0	0	-1
request_11	100	100	0	120	120	-1	2170	2170	-1	1542	1542	-1	393	393	-1	2010	2010	-1	2170	2170	-1	t < 800 ms	3	3	800 ms < t < 1200 ms	6	6	t > 1200 ms	91	91	failed	0	0	0	0	-1
request_12	100	100	0	680	680	-1	1880	1880	-1	1224	1224	-1	352	352	-1	1670	1670	-1	1880	1880	-1	t < 800 ms	4	4	800 ms < t < 1200 ms	44	44	t > 1200 ms	52	52	failed	0	0	0	0	-1
request_13	100	100	0	610	610	-1	1620	1620	-1	1357	1357	-1	148	148	-1	1540	1540	-1	1610	1610	-1	t < 800 ms	1	1	800 ms < t < 1200 ms	10	10	t > 1200 ms	89	89	failed	0	0	0	0	-1
request_14	100	100	0	130	130	-1	3220	3220	-1	1686	1686	-1	640	640	-1	2820	2820	-1	3210	3210	-1	t < 800 ms	4	4	800 ms < t < 1200 ms	14	14	t > 1200 ms	82	82	failed	0	0	0	0	-1
