name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO	percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
Global Information	10500	10500	0	80	80	-1	9400	9400	-1	1981	1981	-1	1463	1463	-1	4690	4690	-1	6720	6720	-1	t < 800 ms	2576	24	800 ms < t < 1200 ms	1166	11	t > 1200 ms	6758	64	failed	0	0	23	23	-1
activityPlan get	400	400	0	120	120	-1	6250	6250	-1	2200	2200	-1	1458	1458	-1	4930	4930	-1	6000	6000	-1	t < 800 ms	74	18	800 ms < t < 1200 ms	37	9	t > 1200 ms	289	72	failed	0	0	1	1	-1
activityOffer view	400	400	0	110	110	-1	9400	9400	-1	3421	3421	-1	2220	2220	-1	8290	8290	-1	9090	9090	-1	t < 800 ms	34	8	800 ms < t < 1200 ms	24	6	t > 1200 ms	342	85	failed	0	0	1	1	-1
activityPlan post	400	400	0	150	150	-1	7870	7870	-1	2922	2922	-1	1908	1908	-1	6760	6760	-1	7590	7590	-1	t < 800 ms	62	15	800 ms < t < 1200 ms	27	6	t > 1200 ms	311	77	failed	0	0	1	1	-1
assessment result newest populate	100	100	0	110	110	-1	6040	6040	-1	2580	2580	-1	1409	1409	-1	4570	4570	-1	5870	5870	-1	t < 800 ms	14	14	800 ms < t < 1200 ms	6	6	t > 1200 ms	80	80	failed	0	0	0	0	-1
coachmessages schedule	400	400	0	110	110	-1	5220	5220	-1	1837	1837	-1	1187	1187	-1	4260	4260	-1	4690	4690	-1	t < 800 ms	89	22	800 ms < t < 1200 ms	64	16	t > 1200 ms	247	61	failed	0	0	1	1	-1
coachmessages signup	100	100	0	90	90	-1	2730	2730	-1	656	656	-1	789	789	-1	2310	2310	-1	2620	2620	-1	t < 800 ms	71	71	800 ms < t < 1200 ms	7	7	t > 1200 ms	22	22	failed	0	0	0	0	-1
coachmessages focus	100	100	0	130	130	-1	4550	4550	-1	1967	1967	-1	1001	1001	-1	3600	3600	-1	4370	4370	-1	t < 800 ms	16	16	800 ms < t < 1200 ms	11	11	t > 1200 ms	73	73	failed	0	0	0	0	-1
coachmessages select	500	500	0	80	80	-1	4870	4870	-1	1638	1638	-1	1098	1098	-1	3700	3700	-1	4430	4430	-1	t < 800 ms	137	27	800 ms < t < 1200 ms	72	14	t > 1200 ms	291	58	failed	0	0	1	1	-1
signin	100	100	0	80	80	-1	2060	2060	-1	506	506	-1	525	525	-1	1550	1550	-1	2060	2060	-1	t < 800 ms	74	74	800 ms < t < 1200 ms	12	12	t > 1200 ms	14	14	failed	0	0	0	0	-1
activityOffer list	400	400	0	130	130	-1	7940	7940	-1	3139	3139	-1	1898	1898	-1	6800	6800	-1	7490	7490	-1	t < 800 ms	39	9	800 ms < t < 1200 ms	24	6	t > 1200 ms	337	84	failed	0	0	1	1	-1
user validation	100	100	0	350	350	-1	1880	1880	-1	664	664	-1	333	333	-1	1200	1200	-1	1850	1850	-1	t < 800 ms	71	71	800 ms < t < 1200 ms	24	24	t > 1200 ms	5	5	failed	0	0	0	0	-1
coachmessages home	100	100	0	90	90	-1	2680	2680	-1	692	692	-1	781	781	-1	2280	2280	-1	2570	2570	-1	t < 800 ms	70	70	800 ms < t < 1200 ms	5	5	t > 1200 ms	25	25	failed	0	0	0	0	-1
notifications	1200	1200	0	90	90	-1	6660	6660	-1	2075	2075	-1	1502	1502	-1	4810	4810	-1	5960	5960	-1	t < 800 ms	295	24	800 ms < t < 1200 ms	134	11	t > 1200 ms	771	64	failed	0	0	3	3	-1
coachmessages check	100	100	0	100	100	-1	4750	4750	-1	1118	1118	-1	1047	1047	-1	2900	2900	-1	4270	4270	-1	t < 800 ms	49	49	800 ms < t < 1200 ms	7	7	t > 1200 ms	44	44	failed	0	0	0	0	-1
activityPlan put	400	400	0	140	140	-1	7780	7780	-1	2674	2674	-1	1867	1867	-1	6190	6190	-1	7350	7350	-1	t < 800 ms	68	17	800 ms < t < 1200 ms	25	6	t > 1200 ms	307	76	failed	0	0	1	1	-1
activityoffers	100	100	0	120	120	-1	8150	8150	-1	2045	2045	-1	2018	2018	-1	5010	5010	-1	8110	8110	-1	t < 800 ms	40	40	800 ms < t < 1200 ms	8	8	t > 1200 ms	52	52	failed	0	0	0	0	-1
assessment	100	100	0	160	160	-1	6090	6090	-1	1593	1593	-1	1448	1448	-1	4330	4330	-1	6080	6080	-1	t < 800 ms	44	44	800 ms < t < 1200 ms	4	4	t > 1200 ms	52	52	failed	0	0	0	0	-1
activityPlan conflicts	2000	2000	0	90	90	-1	5240	5240	-1	1719	1719	-1	1112	1112	-1	3830	3830	-1	4700	4700	-1	t < 800 ms	468	23	800 ms < t < 1200 ms	350	17	t > 1200 ms	1182	59	failed	0	0	4	4	-1
focus profile	300	300	0	210	210	-1	5450	5450	-1	2291	2291	-1	1073	1073	-1	4160	4160	-1	4760	4760	-1	t < 800 ms	25	8	800 ms < t < 1200 ms	29	9	t > 1200 ms	246	82	failed	0	0	1	1	-1
assessment result newest	500	500	0	90	90	-1	5300	5300	-1	1907	1907	-1	1113	1113	-1	3870	3870	-1	4580	4580	-1	t < 800 ms	97	19	800 ms < t < 1200 ms	52	10	t > 1200 ms	351	70	failed	0	0	1	1	-1
assessment result answer	2600	2600	0	150	150	-1	5650	5650	-1	1819	1819	-1	1151	1151	-1	3770	3770	-1	4790	4790	-1	t < 800 ms	643	24	800 ms < t < 1200 ms	241	9	t > 1200 ms	1716	66	failed	0	0	6	6	-1
signup	100	100	0	90	90	-1	1300	1300	-1	226	226	-1	221	221	-1	580	580	-1	1150	1150	-1	t < 800 ms	96	96	800 ms < t < 1200 ms	3	3	t > 1200 ms	1	1	failed	0	0	0	0	-1

